Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
PIH,"1347 Property Insurance Holdings, Inc.",6.95,41594123.7,n/a,2014,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/pih
TURN,180 Degree Capital Corp.,2.12,65977711.44,n/a,n/a,Finance,Finance/Investors Services,http://www.nasdaq.com/symbol/turn
FLWS,"1-800 FLOWERS.COM, Inc.",11.5,743181313,n/a,1999,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/flws
FCCY,1st Constitution Bancorp (NJ),19.5,157426522.5,n/a,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/fccy
SRCE,1st Source Corporation,53.14,1378245948,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/srce
VNET,"21Vianet Group, Inc.",8.57,525427419.9,61310084,2011,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/vnet
TWOU,"2U, Inc.",72.38,3779853186,n/a,2014,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/twou
JOBS,"51job, Inc.",67,2465155857,36793371,2004,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/jobs
CAFD,8point3 Energy Partners LP,15.02,1187855724,n/a,2015,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/cafd
EGHT,8x8 Inc,16.6,1526411849,n/a,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/eght
AVHI,"A V Homes, Inc.",18.75,421044168.8,n/a,n/a,Capital Goods,Homebuilding,http://www.nasdaq.com/symbol/avhi
SHLM,"A. Schulman, Inc.",39.15,1154977696,n/a,1972,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/shlm
AAON,"AAON, Inc.",37.3,1957070350,n/a,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aaon
ABAX,"ABAXIS, Inc.",61.16,1388148520,n/a,1992,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/abax
ABEO,Abeona Therapeutics Inc.,14.6,682918752.2,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abeo
ABEOW,Abeona Therapeutics Inc.,9.549,0,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abeow
ABIL,Ability Inc.,0.4856,12507182.56,n/a,2014,Finance,Business Services,http://www.nasdaq.com/symbol/abil
ABMD,"ABIOMED, Inc.",228.29,10094103742,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/abmd
ABLX,Ablynx NV,41.63,547205535,13144500,2017,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/ablx
AXAS,Abraxas Petroleum Corporation,2.54,421360348.5,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/axas
ACIU,AC Immune SA,13.14,747958259.9,n/a,2016,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aciu
ACIA,"Acacia Communications, Inc.",36.8,1449085744,n/a,2016,Technology,Semiconductors,http://www.nasdaq.com/symbol/acia
ACTG,Acacia Research Corporation,3.8,192298171.6,n/a,n/a,Miscellaneous,Multi-Sector Companies,http://www.nasdaq.com/symbol/actg
ACHC,"Acadia Healthcare Company, Inc.",34.01,2987900902,n/a,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/achc
ACAD,ACADIA Pharmaceuticals Inc.,26.92,3343615748,n/a,2004,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acad
ACST,"Acasti Pharma, Inc.",1.02,25335199.62,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acst
AXDX,"Accelerate Diagnostics, Inc.",28.25,1564981155,n/a,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/axdx
XLRN,Acceleron Pharma Inc.,43.04,1946915433,n/a,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/xlrn
ANCX,Access National Corporation,29.27,598651319.3,n/a,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/ancx
ARAY,Accuray Incorporated,5.3,444769258.4,n/a,2007,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/aray
ACRX,"AcelRx Pharmaceuticals, Inc.",2.05,103193697.5,n/a,2011,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acrx
ACER,Acer Therapeutics Inc.,19.1,143200970.3,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acer
ACERW,Acer Therapeutics Inc.,0.013,0,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acerw
ACET,Aceto Corporation,11.16,341956394.6,n/a,n/a,Health Care,Other Pharmaceuticals,http://www.nasdaq.com/symbol/acet
AKAO,"Achaogen, Inc.",11.54,489222247.9,n/a,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/akao
ACHV,"Achieve Life Sciences, Inc. ",1.4808,17692118.62,n/a,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,http://www.nasdaq.com/symbol/achv
ACHN,"Achillion Pharmaceuticals, Inc.",2.99,412194618.7,n/a,2006,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/achn
ACIW,"ACI Worldwide, Inc.",23.21,2752223789,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/aciw
ACRS,"Aclaris Therapeutics, Inc.",24.4,752366167.6,n/a,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acrs
ACMR,"ACM Research, Inc.",4.99,76572967.16,n/a,2017,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/acmr
ACNB,ACNB Corporation,30.45,213748190.3,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/acnb
ACOR,"Acorda Therapeutics, Inc.",27.2,1271522915,n/a,2006,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/acor
SQZZ,Active Alts Contrarian ETF,26.38,659552.76,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/sqzz
ATVI,"Activision Blizzard, Inc",70.57,53357938539,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/atvi
ACTA,Actua Corporation,15.85,518649247.5,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/acta
ACXM,Acxiom Corporation,28.32,2245335171,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/acxm
ADMS,"Adamas Pharmaceuticals, Inc.",38.19,869925427.2,n/a,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adms
ADMP,Adamis Pharmaceuticals Corporation,4.35,145233371.7,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/admp
ADAP,Adaptimmune Therapeutics plc,8.09,472771218.8,58438964,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/adap
ADUS,Addus HomeCare Corporation,39.15,455379449.9,n/a,2009,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/adus
AEY,"ADDvantage Technologies Group, Inc.",1.47,15032212.65,n/a,n/a,Consumer Services,Office Equipment/Supplies/Services,http://www.nasdaq.com/symbol/aey
IOTS,Adesto Technologies Corporation,7.45,157485401,n/a,2015,Technology,Semiconductors,http://www.nasdaq.com/symbol/iots
ADMA,ADMA Biologics Inc,3.54,160420972.9,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/adma
ADBE,Adobe Systems Incorporated,195.73,96154711260,n/a,1986,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/adbe
ADOM,"ADOMANI, Inc.",2.01,144192570,n/a,2017,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/adom
ADTN,"ADTRAN, Inc.",16.4,789653292.4,n/a,1994,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/adtn
ADRO,"Aduro Biotech, Inc.",7.3,564316754.5,n/a,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adro
AAAP,Advanced Accelerator Applications S.A.,81.99,3460363271,42204699,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aaap
ADES,"Advanced Emissions Solutions, Inc.",8.25,173988127.5,n/a,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/ades
AEIS,"Advanced Energy Industries, Inc.",77.53,3074631632,n/a,1995,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aeis
AMD,"Advanced Micro Devices, Inc.",12.59,12146814412,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/amd
ADXS,"Advaxis, Inc.",2.93,121020684.8,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adxs
ADXSW,"Advaxis, Inc.",0.8671,0,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adxsw
ADVM,"Adverum Biotechnologies, Inc.",4.9,220703193.2,n/a,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/advm
ACT,AdvisorShares Vice ETF,26.4356,15861360,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/act
AEGN,Aegion Corp,25.97,844721541.4,n/a,n/a,Basic Industries,Water Supply,http://www.nasdaq.com/symbol/aegn
AGLE,"Aeglea BioTherapeutics, Inc.",6.75,112349180.3,n/a,2016,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/agle
AEHR,Aehr Test Systems,2.82,61481744.34,n/a,1997,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/aehr
AMTX,"Aemetis, Inc",0.64,12686695.68,n/a,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/amtx
AERI,"Aerie Pharmaceuticals, Inc.",59.3,2176590430,n/a,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/aeri
AVAV,"AeroVironment, Inc.",53.6,1279441755,n/a,2007,Capital Goods,Aerospace,http://www.nasdaq.com/symbol/avav
AEZS,AEterna Zentaris Inc.,2.28,37484932.8,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aezs
AEMD,"Aethlon Medical, Inc.",1.375,20756817.13,n/a,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/aemd
GNMX,"Aevi Genomic Medicine, Inc.",1.5,88998397.5,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/gnmx
AFMD,Affimed N.V.,1.3,58072773.2,n/a,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/afmd
AGEN,Agenus Inc.,3.97,397726168.6,n/a,2000,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/agen
AGRX,"Agile Therapeutics, Inc.",3.54,121019650.7,n/a,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/agrx
AGYS,"Agilysys, Inc.",12.53,290727024.3,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/agys
AGIO,"Agios Pharmaceuticals, Inc.",69.89,3407437258,n/a,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/agio
AGNC,AGNC Investment Corp.,19.58,7661573135,n/a,2008,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/agnc
AGNCB,AGNC Investment Corp.,26.01,9011166659,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/agncb
AGNCN,AGNC Investment Corp.,26.06,0,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/agncn
AGFS,"AgroFresh Solutions, Inc.",7.56,380550607.9,n/a,2014,Finance,Business Services,http://www.nasdaq.com/symbol/agfs
AGFSW,"AgroFresh Solutions, Inc.",0.5,0,n/a,2014,Finance,Business Services,http://www.nasdaq.com/symbol/agfsw
ALRN,"Aileron Therapeutics, Inc.",9.21,135560028.3,n/a,2017,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alrn
AIMT,"Aimmune Therapeutics, Inc.",38.9,1990264468,n/a,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aimt
AIRT,"Air T, Inc.",29.825,60926181.93,n/a,n/a,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/airt
ATSG,"Air Transport Services Group, Inc",25.97,1535375279,n/a,n/a,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/atsg
AIRG,"Airgain, Inc.",10.94,104791393.7,n/a,2016,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/airg
AMCN,AirMedia Group Inc,1.33,60086406.17,45177749,2007,Technology,Advertising,http://www.nasdaq.com/symbol/amcn
AKAM,"Akamai Technologies, Inc.",65.63,11101428565,n/a,1999,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/akam
AKTX,Akari Therapeutics Plc,3.59,42104873.43,11728377,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aktx
AKCA,"Akcea Therapeutics, Inc.",17.9,1191095159,n/a,2017,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/akca
AKBA,"Akebia Therapeutics, Inc.",14.71,695329240.6,n/a,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/akba
AKER,Akers Biosciences Inc,0.2303,7236153.126,n/a,2014,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,http://www.nasdaq.com/symbol/aker
AKRX,"Akorn, Inc.",33.01,4128581199,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/akrx
AKTS,"Akoustis Technologies, Inc.",6.62,145700420.7,n/a,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/akts
ALRM,"Alarm.com Holdings, Inc.",38.73,1825748195,n/a,2015,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/alrm
ALSK,"Alaska Communications Systems Group, Inc.",2.49,261188639.6,n/a,1999,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/alsk
ALBO,"Albireo Pharma, Inc.",33,293681883,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/albo
ABDC,Alcentra Capital Corp.,8.36,119090039.2,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/abdc
ALDR,"Alder BioPharmaceuticals, Inc.",16.8,1139761426,n/a,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aldr
ALDX,"Aldeyra Therapeutics, Inc.",6.9,131911964.4,n/a,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aldx
ALXN,"Alexion Pharmaceuticals, Inc.",121.05,27043737406,n/a,1996,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alxn
ALCO,"Alico, Inc.",27.5,226719817.5,n/a,n/a,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/alco
ALGN,"Align Technology, Inc.",269.46,21604684120,n/a,2001,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/algn
ALIM,"Alimera Sciences, Inc.",1.2,82978012.8,n/a,2010,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alim
ALJJ,"ALJ Regional Holdings, Inc.",3.43,129040427.9,n/a,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/aljj
ALKS,Alkermes plc,57.03,8769841288,n/a,1991,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alks
ABTX,"Allegiance Bancshares, Inc.",39.4,519352833.6,n/a,2015,Finance,Major Banks,http://www.nasdaq.com/symbol/abtx
ALGT,Allegiant Travel Company,168.3,2705912085,n/a,2006,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/algt
ALNA,"Allena Pharmaceuticals, Inc.",9.65,199467951.1,n/a,2017,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/alna
AHGP,"Alliance Holdings GP, L.P.",28.17,1686340710,n/a,2006,Energy,Coal Mining,http://www.nasdaq.com/symbol/ahgp
AMMA,"Alliance MMA, Inc.",0.88,11143417.12,n/a,2016,Consumer Services,Services-Misc. Amusement & Recreation,http://www.nasdaq.com/symbol/amma
ARLP,"Alliance Resource Partners, L.P.",20.6,2692506870,n/a,1999,Energy,Coal Mining,http://www.nasdaq.com/symbol/arlp
AHPI,"Allied Healthcare Products, Inc.",2.18,8749510.66,n/a,1992,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/ahpi
AMOT,"Allied Motion Technologies, Inc.",35.16,332366390,n/a,n/a,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/amot
ALQA,"Alliqua BioMedical, Inc.",1.98,9872347.32,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/alqa
ALLT,Allot Communications Ltd.,5.09,168552194.2,n/a,2006,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/allt
MDRX,"Allscripts Healthcare Solutions, Inc.",15.24,2753577084,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/mdrx
AFAM,Almost Family Inc,59.4,829695101.4,n/a,n/a,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/afam
ALNY,"Alnylam Pharmaceuticals, Inc.",124.83,12379492462,n/a,2004,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alny
AOSL,Alpha and Omega Semiconductor Limited,17.63,420917149.1,n/a,2010,Technology,Semiconductors,http://www.nasdaq.com/symbol/aosl
GOOG,Alphabet Inc.,1137.51,7.90344E+11,n/a,2004,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/goog
GOOGL,Alphabet Inc.,1143.5,7.94506E+11,n/a,n/a,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/googl
SMCP,AlphaMark Actively Managed Small Cap ETF,26.6394,29302674.02,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/smcp
ATEC,"Alphatec Holdings, Inc.",3.35,56025668,n/a,2006,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/atec
ALPN,"Alpine Immune Sciences, Inc.",10.88,151032297.6,n/a,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alpn
SWIN,ALPS/Dorsey Wright Sector Momentum ETF,30.5732,9172021.146,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/swin
AABA,Altaba Inc.,74.36,64944393136,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/aaba
ALTR,Altair Engineering Inc.,26.75,1682646476,n/a,2017,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/altr
ALT,"Altimmune, Inc.",1.82,28487804.8,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alt
ASPS,Altisource Portfolio Solutions S.A.,29.73,532307890.5,n/a,n/a,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/asps
AIMC,Altra Industrial Motion Corp.,53.35,1561840563,n/a,2006,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aimc
AMAG,"AMAG Pharmaceuticals, Inc.",13.85,489934622.9,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/amag
AMRN,Amarin Corporation plc,3.97,1067216849,268820365,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/amrn
AMRK,"A-Mark Precious Metals, Inc.",13.84,97315268,n/a,n/a,Basic Industries,Other Specialty Stores,http://www.nasdaq.com/symbol/amrk
AMZN,"Amazon.com, Inc.",1294.58,6.23822E+11,n/a,1997,Consumer Services,Catalog/Specialty Distribution,http://www.nasdaq.com/symbol/amzn
AMBC,"Ambac Financial Group, Inc.",15.95,721756097.7,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/ambc
AMBCW,"Ambac Financial Group, Inc.",5.76,0,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/ambcw
AMBA,"Ambarella, Inc.",51.38,1711288381,n/a,2012,Technology,Semiconductors,http://www.nasdaq.com/symbol/amba
AMCX,AMC Networks Inc.,53.97,3338769857,n/a,n/a,Consumer Services,Television Services,http://www.nasdaq.com/symbol/amcx
DOX,Amdocs Limited,69.61,10017876581,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/dox
AMDA,Amedica Corporation,3.46,10456372.58,n/a,2014,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/amda
AMED,Amedisys Inc,55.59,1886541487,n/a,n/a,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/amed
UHAL,Amerco,371.67,7287626566,n/a,n/a,Consumer Services,Rental/Leasing Companies,http://www.nasdaq.com/symbol/uhal
AMRH,"Ameri Holdings, Inc.",3.65,57875308.85,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/amrh
AMRHW,"Ameri Holdings, Inc.",0.84,0,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/amrhw
ATAX,"America First Multifamily Investors, L.P.",6.175,372061830.4,n/a,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/atax
AMOV,"America Movil, S.A.B. de C.V.",18.18,60045822835,n/a,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/amov
AAL,"American Airlines Group, Inc.",58.06,27781656178,n/a,n/a,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/aal
ACSF,"American Capital Senior Floating, Ltd.",11.25,112501125,n/a,2014,n/a,n/a,http://www.nasdaq.com/symbol/acsf
AETI,"American Electric Technologies, Inc.",1.6032,13899182.88,n/a,n/a,Energy,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aeti
AMNB,"American National Bankshares, Inc.",39.6,342434862,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/amnb
ANAT,American National Insurance Company,128.19,3452398210,n/a,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/anat
AOBC,American Outdoor Brands Corporation,12.16,658028562.6,n/a,n/a,Capital Goods,Ordnance And Accessories,http://www.nasdaq.com/symbol/aobc
APEI,"American Public Education, Inc.",25.8,419709601.2,n/a,2007,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/apei
ARII,"American Railcar Industries, Inc.",39.83,760110860.7,n/a,2006,Capital Goods,Railroads,http://www.nasdaq.com/symbol/arii
AMRB,American River Bankshares,15.71,100183031.3,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/amrb
AMSWA,"American Software, Inc.",13.16,396811400.7,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/amswa
AMSC,American Superconductor Corporation,5.17,108182984.1,n/a,1991,Consumer Durables,Metal Fabrications,http://www.nasdaq.com/symbol/amsc
AMWD,American Woodmark Corporation,135.6,2373444768,n/a,1986,Basic Industries,Forest Products,http://www.nasdaq.com/symbol/amwd
CRMT,"America&#39;s Car-Mart, Inc.",46.85,334980357.9,n/a,n/a,Consumer Durables,Automotive Aftermarket,http://www.nasdaq.com/symbol/crmt
ABCB,Ameris Bancorp,53.85,2004891989,n/a,1994,Finance,Major Banks,http://www.nasdaq.com/symbol/abcb
AMSF,"AMERISAFE, Inc.",62,1193129426,n/a,2005,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/amsf
ASRV,AmeriServ Financial Inc.,4.05,74008987.2,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/asrv
ASRVP,AmeriServ Financial Inc.,27.35,0,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/asrvp
ATLO,Ames National Corporation,29.75,276999661.8,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/atlo
AMGN,Amgen Inc.,189.28,1.374E+11,n/a,1983,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/amgn
FOLD,"Amicus Therapeutics, Inc.",15.9,2655300000,n/a,2007,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/fold
AMKR,"Amkor Technology, Inc.",10.91,2610540480,n/a,1998,Technology,Semiconductors,http://www.nasdaq.com/symbol/amkr
AMPH,"Amphastar Pharmaceuticals, Inc.",19.37,890550200,n/a,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/amph
IBUY,Amplify Online Retail ETF,43.98,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ibuy
ASYS,"Amtech Systems, Inc.",11.28,166162284.7,n/a,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/asys
AFSI,"AmTrust Financial Services, Inc.",12.68,2485616971,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/afsi
AMRS,"Amyris, Inc.",5,215168250,n/a,2010,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/amrs
ADI,"Analog Devices, Inc.",96.14,35440644658,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/adi
ALOG,Analogic Corporation,84.25,1051839429,n/a,1972,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/alog
ANAB,"AnaptysBio, Inc.",114.91,2700118409,n/a,2017,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/anab
AVXL,Anavex Life Sciences Corp.,3.01,133104707.3,n/a,n/a,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/avxl
ANCB,Anchor Bancorp,25,62373500,n/a,2011,Finance,Banks,http://www.nasdaq.com/symbol/ancb
ANDA,Andina Acquisition Corp. II,10.315,50308637.77,n/a,2015,Finance,Business Services,http://www.nasdaq.com/symbol/anda
ANDAR,Andina Acquisition Corp. II,1.35,0,n/a,2015,Finance,Business Services,http://www.nasdaq.com/symbol/andar
ANDAU,Andina Acquisition Corp. II,14,0,n/a,2015,Finance,Business Services,http://www.nasdaq.com/symbol/andau
ANDAW,Andina Acquisition Corp. II,1.74,0,n/a,2015,Finance,Business Services,http://www.nasdaq.com/symbol/andaw
ANGI,ANGI Homeservices Inc.,13.25,6325679254,n/a,n/a,Consumer Services,Advertising,http://www.nasdaq.com/symbol/angi
ANGO,"AngioDynamics, Inc.",16.77,616220777.3,n/a,2004,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/ango
ANIP,"ANI Pharmaceuticals, Inc.",69.94,815073975.8,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/anip
ANIK,Anika Therapeutics Inc.,59.03,865484224.1,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/anik
ANSS,"ANSYS, Inc.",161.54,13708360808,n/a,1996,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/anss
ATRS,"Antares Pharma, Inc.",2.25,352517634,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/atrs
ANTH,"Anthera Pharmaceuticals, Inc.",1.28,27488536.32,n/a,2010,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/anth
APLS,"Apellis Pharmaceuticals, Inc.",18.9,951315472.8,n/a,2017,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/apls
APOG,"Apogee Enterprises, Inc.",45,1278781470,n/a,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/apog
